n;beta;assortativity;median degree;diameter
2000;-1.0;-0.045725835123385114;8.0;5
4000;-1.0;-0.039629285689616565;8.0;5
6000;-1.0;-0.03264904148508705;8.0;5
8000;-1.0;-0.02305950910640581;8.0;5
10000;-1.0;-0.024908088464293925;8.0;5
12000;-1.0;-0.021381190099975456;8.0;5
14000;-1.0;-0.02006852248735403;8.0;5
16000;-1.0;-0.020410589080081268;8.0;6
18000;-1.0;-0.021805792666267625;8.0;6
20000;-1.0;-0.017239414552381947;8.0;6
2000;0.3;-0.9950502996837469;2.0;4
4000;0.3;-0.9826314768332723;2.0;4
6000;0.3;-0.9942401724904372;1.0;2
8000;0.3;-0.9968916717593078;2.0;4
10000;0.3;-0.9959402435358928;1.0;2
12000;0.3;-0.9969275899380072;2.0;3
14000;0.3;-0.9981983970943411;2.0;4
16000;0.3;-0.9978486706717854;1.0;2
18000;0.3;-0.9985956939335074;2.0;3
20000;0.3;-0.9989142076000856;2.0;3
2000;0.5;-0.6854007111684379;3.0;5
4000;0.5;-0.6716508610561522;3.0;4
6000;0.5;-0.7383847825460214;3.0;5
8000;0.5;-0.671424434107087;3.0;4
10000;0.5;-0.7227665840900749;3.0;5
12000;0.5;-0.7216740806812901;3.0;4
14000;0.5;-0.8223003646783765;3.0;4
16000;0.5;-0.6961952896519816;3.0;4
18000;0.5;-0.749369248042309;3.0;4
20000;0.5;-0.7903954268577864;3.0;5
2000;0.7;-0.3654600497935935;4.0;5
4000;0.7;-0.43262287213596307;4.0;5
6000;0.7;-0.39976934957297533;3.0;5
8000;0.7;-0.45898954652436313;3.0;5
10000;0.7;-0.46146360585749174;3.0;5
12000;0.7;-0.41964405563383034;3.0;5
14000;0.7;-0.4469505825711227;3.0;5
16000;0.7;-0.4355516073617759;3.0;5
18000;0.7;-0.4792523155246311;3.0;5
20000;0.7;-0.5148159213489371;3.0;5
2000;0.9;-0.10647627237669698;6.0;5
4000;0.9;-0.15753286906511463;5.0;6
6000;0.9;-0.18414075317917064;4.0;6
8000;0.9;-0.21074469409623142;4.0;6
10000;0.9;-0.21853807827510296;4.0;6
12000;0.9;-0.2711462368271872;4.0;6
14000;0.9;-0.23318679640108428;4.0;6
16000;0.9;-0.23351347198930175;4.0;6
18000;0.9;-0.23226136413730003;4.0;6
20000;0.9;-0.28295431803193555;4.0;6
