n;beta;assortativity;median degree;diameter
100;1.0;-0.3435496017526752;4.0;6
200;1.0;-0.2669781362741607;3.0;7
300;1.0;-0.2873344458073284;3.0;6
400;1.0;-0.480978148479775;3.0;5
500;1.0;-0.38368407308360014;3.0;7
600;1.0;-0.28219674648888476;3.0;7
700;1.0;-0.3180670951846633;3.0;7
800;1.0;-0.27583171425077635;3.0;7
900;1.0;-0.47907686960682694;3.0;7
1000;1.0;-0.31439599431885346;3.0;7
1100;1.0;-0.514200547559841;3.0;6
1200;1.0;-0.30908852010181365;2.0;6
1300;1.0;-0.3162871823953126;2.0;6
1400;1.0;-0.3631120946553033;3.0;6
1500;1.0;-0.3687715884826728;3.0;6
1600;1.0;-0.33881230364005943;2.0;7
1700;1.0;-0.3318544884104321;3.0;8
1800;1.0;-0.339698082644689;3.0;6
1900;1.0;-0.449092494430043;2.0;6
2000;1.0;-0.46878404379247024;3.0;6
100;2.0;-0.23196891733735764;6.0;4
200;2.0;-0.32260088765444306;5.0;4
300;2.0;-0.1885768690732035;6.0;5
400;2.0;-0.15366333744498056;6.0;6
500;2.0;-0.1368369830575255;6.0;5
600;2.0;-0.17793861023356888;6.0;5
700;2.0;-0.19996340508647814;5.0;5
800;2.0;-0.16661159483140062;5.0;5
900;2.0;-0.18612333364836345;5.0;5
1000;2.0;-0.19265168118909243;5.0;5
1100;2.0;-0.30034007659934797;4.0;5
1200;2.0;-0.18086897847008235;5.0;5
1300;2.0;-0.18797435471177512;5.0;5
1400;2.0;-0.18674154842972304;5.0;5
1500;2.0;-0.17453604155675148;5.0;5
1600;2.0;-0.205897469957404;5.0;5
1700;2.0;-0.16421026142015918;5.0;5
1800;2.0;-0.17711853338929698;5.0;5
1900;2.0;-0.25763807458384225;5.0;5
2000;2.0;-0.22411345805325536;5.0;5
100;2.5;-0.24280317302899568;6.0;4
200;2.5;-0.1852615500495082;6.0;4
300;2.5;-0.20108933834344006;6.0;5
400;2.5;-0.20083916030544458;6.0;5
500;2.5;-0.16017216345518945;6.0;5
600;2.5;-0.1758991826829428;6.0;5
700;2.5;-0.14326307677496983;6.0;5
800;2.5;-0.1722251744365568;6.0;5
900;2.5;-0.16450792872211284;6.0;5
1000;2.5;-0.1276211426373696;6.0;5
1100;2.5;-0.1573145880769835;6.0;5
1200;2.5;-0.15241253027069154;6.0;5
1300;2.5;-0.1361140682899303;6.0;5
1400;2.5;-0.22759428302413257;5.0;5
1500;2.5;-0.23378973075556062;6.0;5
1600;2.5;-0.181825855054112;6.0;5
1700;2.5;-0.19243591990661854;6.0;5
1800;2.5;-0.18653517990716728;6.0;4
1900;2.5;-0.1813573025658053;6.0;5
2000;2.5;-0.1526813046088927;6.0;5
100;3.0;-0.17645357813123755;6.0;4
200;3.0;-0.17797384040714087;6.0;4
300;3.0;-0.17962464109051213;6.0;4
400;3.0;-0.15963062942910036;6.0;4
500;3.0;-0.17970827515386384;6.0;4
600;3.0;-0.22432855507290891;6.0;4
700;3.0;-0.15367271947857583;6.0;5
800;3.0;-0.17745311224071794;6.0;5
900;3.0;-0.16610714063674412;6.0;5
1000;3.0;-0.26619334174084247;5.0;5
1100;3.0;-0.15238044224695535;6.0;5
1200;3.0;-0.10736855418713859;6.0;5
1300;3.0;-0.2333492329244945;5.0;4
1400;3.0;-0.15214880402828146;6.0;5
1500;3.0;-0.12346278742906082;6.0;5
1600;3.0;-0.15654189861342518;6.0;5
1700;3.0;-0.14778308610548951;6.0;5
1800;3.0;-0.17751157738590354;6.0;5
1900;3.0;-0.14787747230209203;6.0;5
2000;3.0;-0.1847850875651028;6.0;4
