Source;Target;DegreeSource;Degreetarget;Capacities
19895;19908;7;6;5496
19884;19932;7;5;4352
19866;19997;7;6;5571
19842;19896;4;6;2004
19806;19856;6;6;4608
19802;19835;7;6;5404
19731;19827;6;5;3223
19716;19880;7;5;4306
19665;19990;7;6;5560
19665;19976;7;5;4380
19602;19968;4;6;2155
19601;19912;4;4;622
19580;19590;7;3;1513
19549;19631;2;5;221
19522;19974;5;5;2495
19447;19491;4;6;1713
19429;19949;4;6;2106
19423;19871;3;6;957
19359;19987;7;6;5530
19252;19966;3;6;991
19213;19853;3;6;946
19209;19890;4;5;1219
18965;19707;4;4;535
18910;19972;6;5;3627
18879;19961;4;6;2139
18877;19182;7;3;1449
18750;19863;6;6;4610
18725;19962;5;6;3573
18721;19906;3;6;963
18713;19855;7;6;5430
18704;19932;4;5;1324
18704;19908;4;6;2046
18567;19981;5;6;3651
18476;19933;5;4;1341
18410;19958;5;6;3564
18363;19955;6;4;2132
18362;19309;6;2;236
18334;19982;5;6;3677
18306;19981;5;6;3638
18249;19978;5;6;3633
18248;19888;4;6;1992
18247;19806;4;6;1859
18235;19922;4;6;2073
18199;19764;5;5;2255
18160;19323;7;4;2816
18159;19994;5;6;3762
18118;19889;6;6;4667
18076;19953;6;5;3548
18050;19884;6;7;5464
18027;19031;6;6;4528
17888;19727;7;4;2900
17844;19936;4;6;2080
17802;19975;4;6;2162
17786;19868;4;6;1939
17769;19871;5;6;3318
17714;19938;5;6;3509
17554;19605;5;5;2234
17549;19996;5;6;3775
17543;19903;5;6;3415
17434;19910;7;6;5497
17367;19788;3;5;403
17240;19892;6;5;3398
17235;19967;6;6;4786
16929;19679;4;3;265
16921;19868;4;6;1925
16823;19701;5;3;393
16798;19963;4;5;1387
16749;19814;6;5;3204
16704;19878;3;4;322
16683;19965;5;5;2478
16640;19934;5;5;2367
16601;19953;5;5;2449
16600;19769;2;4;175
16595;19120;7;4;2745
16587;19007;9;4;4520
16587;19465;9;5;5847
16587;18815;9;4;4507
16587;19401;9;4;4541
16531;19945;4;6;2095
16444;19783;6;4;1834
16434;19853;3;6;938
16416;19957;3;5;456
16405;19226;8;4;3933
16405;19168;8;2;524
16287;19965;4;5;1391
16245;19771;4;4;554
16169;19700;6;5;3153
16156;18603;10;3;3074
16156;17034;10;5;6584
16156;18021;10;1;214
16156;16750;10;6;8855
16156;16821;10;4;5134
16136;19972;5;5;2494
16094;19893;4;5;1224
16035;19997;5;6;3784
15986;19988;4;6;2191
15981;19708;6;3;816
15973;19916;5;4;1261
15954;19889;4;6;1998
15787;19942;4;5;1362
15707;19522;7;5;4259
15653;19982;5;6;3658
15596;19966;4;6;2140
15563;19954;4;5;1372
15549;19678;5;3;382
15547;19935;5;6;3486
15516;19851;7;3;1556
15471;19903;6;6;4668
15454;19483;7;3;1462
15432;19998;5;6;3792
15245;19937;3;6;979
15233;19599;4;5;1147
15227;19657;6;2;247
15186;19339;7;3;1460
15090;19816;8;3;1865
15090;18909;8;2;518
15090;18231;8;2;504
15021;19958;6;6;4748
14911;19521;7;4;2854
14866;19825;4;6;1880
14827;19971;4;5;1402
14811;19926;7;5;4338
14610;19950;5;6;3544
14494;19702;4;5;1154
14478;19907;7;6;5490
14454;19637;6;5;3116
14444;17327;8;6;6249
14444;18273;8;5;5148
14432;19887;5;6;3388
14374;19967;5;6;3611
14364;19331;6;4;1657
14322;19959;5;5;2463
14313;19994;7;6;5566
14122;19303;7;2;359
14106;19202;7;5;4201
14068;19811;5;6;3200
14045;19819;6;2;294
13970;19848;4;6;1892
13918;19938;3;6;989
13866;19913;5;6;3423
13863;19981;7;6;5529
13863;19710;7;5;4273
13818;19520;6;3;762
13564;19951;5;5;2446
13480;19360;7;4;2834
13480;18979;7;6;5393
13473;19928;5;3;434
13470;19914;7;5;4336
13422;19539;5;4;1120
13377;19860;5;6;3248
13366;19084;7;1;126
13308;19983;5;6;3679
13279;19744;6;3;824
13222;19559;9;3;2640
13222;18646;9;4;4496
13222;19889;9;6;7506
13206;19985;4;5;1407
13205;19205;12;3;4533
13205;16267;12;4;6227
13205;16157;12;3;4472
13205;15004;12;4;6187
13205;14626;12;4;6167
13205;17618;12;2;1645
13168;19822;4;6;1876
13162;19987;5;6;3707
13158;19787;4;6;1840
13120;19539;5;4;1116
13065;19987;6;6;4838
12942;19969;5;6;3620
12789;19823;5;6;3222
12777;19873;4;6;1970
12739;19788;6;5;3185
12708;19875;6;6;4648
12661;19904;6;4;2010
12659;19932;4;5;1310
12634;18990;7;5;4185
12506;19950;3;6;991
12494;19951;3;5;452
12406;19986;4;6;2187
12385;19808;7;5;4302
12357;19838;7;6;5426
12317;19991;5;5;2506
12295;19489;7;3;1471
12271;19741;6;4;1806
12267;19932;7;5;4347
12251;19864;6;5;3258
12245;19664;3;4;249
12225;19857;6;5;3243
12195;19802;5;7;4286
12172;19876;4;6;1973
12143;19976;3;5;481
12138;19923;5;6;3424
12102;19720;6;5;3156
12091;19902;5;6;3410
12056;19888;6;6;4661
12048;19978;4;6;2171
11986;19958;5;6;3563
11971;18636;7;3;1436
11906;19768;4;6;1817
11831;19982;3;6;1001
11814;19445;7;5;4210
11780;19451;3;5;365
11685;19774;7;3;1524
11685;19583;7;4;2872
11649;19832;7;3;1548
11541;19978;2;6;325
11494;19924;6;6;4691
11494;19773;6;4;1828
11489;19469;5;4;1100
11382;19857;5;5;2279
11300;19649;4;3;243
11209;19969;3;6;995
11144;19688;6;4;1777
11121;19843;4;5;1200
11107;19942;6;5;3522
11035;19323;6;4;1657
10928;19631;6;5;3115
10878;19956;7;4;2909
10873;19889;8;6;6392
10873;18985;8;5;5164
10872;19607;6;4;1750
10855;19043;7;5;4197
10828;18831;7;2;346
10667;19723;7;4;2899
10645;19989;3;6;1020
10626;19891;5;5;2322
10560;19614;7;3;1515
10560;19772;7;5;4276
10502;19773;6;4;1822
10465;19518;8;1;154
10465;19004;8;3;1648
10434;17437;9;5;5804
10434;15647;9;1;205
10434;18075;9;5;5813
10320;19970;7;5;4378
10320;19907;7;6;5486
10280;19989;4;6;2193
5051;19969;4;6;2155
5013;19972;5;5;2490
4984;19777;4;5;1180
4978;17263;20;4;15154
4978;17094;20;3;8875
4978;13927;20;4;15068
4978;10471;20;5;24597
4978;17507;20;5;25047
4978;10373;20;5;24557
4978;5630;20;4;14802
4978;9884;20;5;24508
4978;17567;20;2;5137
4978;5242;20;6;38477
4978;5493;20;4;14802
4978;6954;20;2;5053
4978;8996;20;4;14917
4978;10059;20;2;5095
4952;19902;5;6;3410
4946;19619;7;4;2882
4937;19667;7;4;2893
4929;19838;3;6;920
4928;19855;6;6;4604
4918;19934;5;5;2348
4903;16833;19;3;8070
4903;16784;19;6;34764
4903;18965;19;4;13865
4903;16065;19;5;20766
4903;16043;19;3;8050
4903;10129;19;3;7929
4903;16743;19;4;13782
4903;7086;19;5;20706
4903;7929;19;5;20711
4903;9026;19;5;20720
4903;5098;19;14;322517
4903;9709;19;2;4930
4903;13429;19;3;7984
4880;19480;21;4;17098
4880;14572;21;4;16895
4880;15218;21;3;9466
4880;13536;21;5;28143
4880;11913;21;3;9346
4880;11375;21;5;28031
4880;19952;21;5;28345
4880;8457;21;3;9294
4880;10154;21;4;16465
4880;9516;21;6;43499
4880;8028;21;4;16353
4880;10957;21;4;16514
4880;12110;21;3;9356
4880;6542;21;2;5292
4880;11008;21;3;9340
4874;19841;6;6;4582
4819;19944;5;4;1366
4779;19641;6;3;769
4740;19995;4;6;2211
4670;19846;6;5;3240
4667;19599;6;5;3102
4654;19157;12;3;4532
4654;18609;12;3;4495
4654;18050;12;6;12411
4654;12778;12;5;8717
4654;10366;12;5;8630
4654;13600;12;5;8733
4637;18418;35;3;28291
4637;17400;35;6;171638
4637;16824;35;2;11412
4637;14336;35;4;57377
4637;14258;35;5;103889
4637;6260;35;5;103380
4637;10670;35;5;103632
4637;4831;35;5;103312
4637;10051;35;4;56956
4637;10979;35;3;27976
4637;5795;35;3;27664
4637;14202;35;5;103886
4637;6802;35;3;27693
4637;18198;35;1;4172
4637;5749;35;4;56389
4637;7024;35;5;103457
4637;11210;35;4;57073
4637;8201;35;5;103510
4637;11768;35;5;103757
4637;9082;35;4;56832
4637;9306;35;3;27889
4637;12670;35;2;11363
4637;10159;35;3;27915
4637;4870;35;2;11258
4637;11006;35;1;4145
4637;11789;35;2;11333
4637;11786;35;4;57112
4637;13267;35;1;4158
4637;13658;35;3;28165
4558;19880;5;5;2299
4485;19987;2;6;325
4471;17030;21;4;16954
4471;12607;21;4;16729
4471;12227;21;3;9366
4471;10665;21;3;9330
4471;17082;21;5;28275
4471;10093;21;5;27915
4471;4771;21;4;16171
4471;10351;21;2;5322
4471;7537;21;6;43382
4471;14368;21;3;9449
4471;5665;21;4;16202
4471;4650;21;4;16157
4471;6225;21;4;16254
4471;7278;21;4;16292
4471;9333;21;4;16439
4417;17393;15;5;13243
4417;13531;15;3;5752
4417;19448;15;4;8994
4417;10110;15;5;13036
4417;8419;15;4;8519
4417;9207;15;4;8542
4417;9864;15;3;5705
4417;12532;15;4;8701
4417;13083;15;3;5748
4413;17403;16;2;3903
4413;5876;16;3;6042
4413;11544;16;3;6091
4413;5394;16;4;9560
4413;14572;16;4;9746
4413;17604;16;3;6305
4413;6729;16;4;9581
4413;11708;16;4;9659
4413;18838;16;4;9855
4413;17040;16;4;9800
4382;16157;29;3;18011
4382;14718;29;2;8274
4382;19252;29;3;18112
4382;16874;29;2;8296
4382;15801;29;2;8286
4382;12814;29;1;2954
4382;10893;29;3;17754
4382;16440;29;2;8292
4382;9886;29;4;35868
4382;9844;29;3;17741
4382;9843;29;4;35848
4382;9201;29;7;153871
4382;4480;29;4;35390
4382;6059;29;5;62479
4382;11971;29;7;153906
4382;6284;29;4;35587
4382;10392;29;4;35974
4382;8507;29;4;35761
4382;12360;29;4;36115
4382;4472;29;4;35387
4382;4641;29;4;35401
4382;11675;29;5;62731
4382;7615;29;5;62563
4368;19938;16;6;22312
4368;15199;16;6;22050
4368;10741;16;5;14987
4368;13665;16;5;15064
4368;10144;16;6;21572
4368;10953;16;4;9647
4368;16616;16;2;3891
4368;11193;16;2;3871
4368;11671;16;5;15008
4368;15403;16;4;9772
4368;12387;16;5;15037
4319;17169;15;4;8876
4319;16315;15;5;13192
4319;11012;15;4;8648
4319;15216;15;4;8807
4319;9381;15;5;13022
4319;9818;15;4;8584
4319;10806;15;4;8637
4319;10092;15;3;5707
4319;12903;15;4;8717
4312;19897;4;5;1243
4278;19886;4;6;1978
4265;17130;8;1;143
4265;15998;8;4;3882
4257;19982;3;6;1000
4231;19926;5;5;2346
4228;18318;6;5;3052
4205;19887;6;6;4657
4198;19951;5;5;2409
4197;17278;27;5;52963
4197;16401;27;4;30395
4197;14662;27;3;15587
4197;9011;27;3;15384
4197;9700;27;7;127104
4197;9410;27;4;29655
4197;9004;27;1;2564
4197;7335;27;4;29388
4197;16736;27;4;30471
4197;6719;27;4;29334
4197;14339;27;3;15578
4197;16190;27;2;7384
4197;5141;27;3;15243
4197;5213;27;5;52072
4197;5655;27;3;15244
4197;8217;27;4;29495
4197;5723;27;5;52117
4197;9078;27;5;52399
4197;6700;27;2;7126
4197;7877;27;5;52284
4197;6978;27;5;52216
4196;18821;26;4;27429
4196;16921;26;4;27357
4196;16529;26;3;14383
4196;12277;26;3;14271
4196;8660;26;5;47636
4196;8219;26;4;26733
4196;16940;26;4;27363
4196;7921;26;3;14095
4196;7183;26;4;26667
4196;6656;26;2;6763
4196;9753;26;5;47695
4196;5519;26;4;26558
4196;5610;26;4;26586
4196;10870;26;2;6809
4196;10493;26;4;26836
4196;10232;26;7;115897
4196;5766;26;5;47441
4196;4874;26;6;73949
4196;4662;26;5;47381
4196;6750;26;3;14089
4190;19883;4;5;1204
4188;19025;19;4;13867
4188;18939;19;4;13856
4188;15343;19;4;13693
4188;14783;19;5;20758
4188;12639;19;5;20756
4188;9848;19;4;13522
4188;9796;19;3;7919
4188;9912;19;4;13531
4188;17334;19;4;13813
4188;13448;19;3;7989
4188;10101;19;3;7920
4188;14500;19;4;13659
4188;12934;19;4;13616
4182;17393;7;5;4166
4174;19967;5;6;3602
4166;19954;6;5;3549
4151;18719;20;5;25112
4151;15767;20;3;8831
4151;14411;20;3;8762
4151;11076;20;3;8672
4151;14881;20;3;8771
4151;4832;20;5;24209
4151;6693;20;1;1059
4151;18933;20;4;15178
4151;9566;20;4;14927
4151;7632;20;2;5058
4151;11571;20;3;8678
4151;8932;20;4;14915
4151;16887;20;4;15153
4151;7897;20;5;24348
4134;19943;24;6;62165
4134;18153;24;2;6331
4134;14857;24;5;39483
4134;13669;24;5;39289
4134;15412;24;3;12217
4134;11932;24;2;6101
4134;4278;24;4;20976
4134;15795;24;5;39619
4134;6295;24;4;21119
4134;8453;24;5;38875
4134;13456;24;5;39260
4134;4379;24;4;20981
4134;16160;24;2;6208
4134;4444;24;3;11597
4134;10097;24;4;21568
4134;4471;24;21;1646838
4134;4617;24;5;38402
4134;11082;24;5;39062
4134;9487;24;3;11847
4125;17543;18;5;19225
4125;7721;18;4;11745
4125;7839;18;3;7179
4125;15225;18;4;12204
4125;14094;18;4;12098
4125;9625;18;3;7245
4125;17220;18;4;12372
4125;12300;18;4;11938
4125;10502;18;6;29814
4125;11633;18;4;11917
4125;9063;18;3;7196
4125;10601;18;3;7255
4119;13488;17;5;17237
4119;13408;17;2;4078
4119;9309;17;3;6657
4119;7598;17;2;4036
4119;6443;17;4;10620
4119;7301;17;2;4016
4119;16225;17;4;10900
4119;14949;17;5;17251
4119;10802;17;5;17204
4119;11374;17;4;10718
4119;11066;17;5;17209
4115;19595;29;4;36775
4115;14226;29;4;36323
4115;16217;29;4;36484
4115;12679;29;4;36158
4115;11695;29;6;101826
4115;8620;29;3;17681
4115;13295;29;4;36235
4115;13005;29;4;36181
4115;10656;29;5;62685
4115;8539;29;1;2913
4115;14963;29;1;2965
4115;12208;29;3;17841
4115;4214;29;5;62306
4115;18178;29;3;18074
4115;18137;29;4;36619
4115;4391;29;5;62329
4115;4203;29;3;17555
4115;18287;29;4;36643
4115;6803;29;4;35614
4115;12032;29;3;17830
4115;6725;29;4;35606
4115;4724;29;5;62352
4115;4875;29;4;35462
4110;19999;6;6;4850
4105;19943;6;6;4701
4104;19968;6;6;4792
4061;19116;10;4;5178
4061;19033;10;4;5171
4061;18515;10;5;6612
4061;19530;10;3;3074
4055;18780;23;4;20028
4055;17712;23;2;5950
4055;13698;23;4;19782
4055;13351;23;2;5943
4055;12674;23;3;11176
4055;11560;23;4;19670
4055;8778;23;3;11107
4055;8592;23;5;35153
4055;14283;23;4;19838
4055;5148;23;4;19513
4055;6296;23;2;5905
4055;5149;23;3;11049
4055;14035;23;2;5946
4055;7684;23;5;35135
4055;5428;23;4;19520
4055;6463;23;3;11088
4055;6694;23;4;19535
4032;19867;6;6;4634
3999;18811;7;5;4173
3989;19939;5;5;2374
3908;19996;5;6;3774
3879;19887;5;6;3386
3857;19937;5;6;3508
3780;19660;6;3;770
3747;19760;26;3;14666
3747;19240;26;3;14607
3747;19558;26;2;6974
3747;17470;26;3;14456
3747;18796;26;4;27429
3747;16563;26;4;27280
3747;16534;26;1;2537
3747;13608;26;1;2531
3747;13211;26;5;47746
3747;15836;26;4;27214
3747;15629;26;3;14352
3747;11059;26;4;26886
3747;7388;26;5;47596
3747;4807;26;3;14035
3747;5548;26;4;26572
3747;8382;26;4;26753
3747;9124;26;4;26783
3747;5654;26;4;26591
3747;6084;26;3;14066
3747;6849;26;4;26655
3736;19776;42;5;172040
3736;19658;42;4;94103
3736;17051;42;3;44185
3736;16906;42;3;44162
3736;15548;42;4;93068
3736;13746;42;5;171074
3736;11867;42;5;170675
3736;11100;42;5;170483
3736;10805;42;4;91829
3736;4679;42;5;168879
3736;4496;42;4;90425
3736;4087;42;3;42987
3736;4841;42;3;43104
3736;4152;42;4;90329
3736;5450;42;2;16202
3736;7944;42;3;43422
3736;6575;42;4;90855
3736;8995;42;4;91286
3736;8228;42;4;91134
3736;11422;42;5;170520
3736;10212;42;5;170215
3736;9897;42;3;43551
3736;4517;42;4;90455
3736;4179;42;4;90354
3736;8819;42;3;43452
3736;4088;42;3;43026
3736;10259;42;5;170230
3736;3828;42;4;90205
3736;7656;42;4;90980
3736;9106;42;5;169909
3736;16795;42;4;93298
3736;6411;42;4;90772
3736;16101;42;3;44083
3736;14095;42;2;16841
3736;7900;42;5;169693
3736;10420;42;3;43615
3736;10544;42;2;16501
3724;19947;6;6;4736
3715;19896;5;6;3402
3704;18160;5;7;4168
3693;18665;8;4;3909
3693;19488;8;3;1704
3679;3736;4;42;90175
3675;19750;6;3;851
3611;18606;34;3;26305
3611;5292;34;5;94779
3611;6017;34;3;25546
3611;5046;34;5;94734
3611;4752;34;5;94713
3611;15424;34;2;10836
3611;7507;34;5;95102
3611;14351;34;5;95915
3611;6976;34;2;10631
3611;4215;34;5;94548
3611;9940;34;3;25769
3611;12956;34;4;54155
3611;16657;34;2;10944
3611;4503;34;3;25473
3611;18236;34;1;4098
3611;4054;34;4;53427
3611;13073;34;4;54156
3611;7715;34;3;25678
3611;17659;34;5;96386
3611;7924;34;5;95155
3611;12854;34;5;95766
3611;6267;34;4;53684
3611;10928;34;6;157025
3611;11646;34;4;54014
3611;19674;34;4;54890
3611;15839;34;3;26102
3611;4731;34;4;53536
3611;16000;34;5;96070
3563;19822;4;6;1869
3553;19350;6;3;737
3531;17745;42;4;93700
3531;17667;42;4;93676
3531;17238;42;4;93508
3531;16559;42;4;93253
3531;16458;42;3;44160
3531;13803;42;4;92716
3531;17983;42;4;93803
3531;5475;42;3;43224
3531;13450;42;4;92541
3531;7027;42;3;43339
3531;3686;42;6;266895
3531;4701;42;5;168942
3531;12502;42;5;170813
3531;19740;42;4;94154
3531;10595;42;3;43659
3531;19862;42;3;44545
3531;4168;42;4;90350
3531;18721;42;3;44360
3531;13116;42;4;92504
3531;16637;42;4;93290
