Source;Target;DegreeSource;Degreetarget;Capacities
15885;15968;7;6;8901
15880;15966;7;6;8888
15836;15994;7;6;8995
15817;15927;7;6;8721
15800;15989;7;6;8964
15759;15945;7;6;8790
15733;15754;7;6;8057
15722;15727;7;6;7970
15688;15994;7;6;8993
15670;15944;7;6;8781
15640;15924;7;6;8714
15606;15966;7;6;8883
15599;15966;7;6;8882
15595;15770;7;6;8099
15556;15747;7;6;8011
15555;15774;7;6;8140
15539;15892;7;6;8546
15529;15647;7;6;7686
15525;15939;7;6;8747
15524;15790;7;6;8166
15508;15873;7;6;8463
15497;15970;7;6;8911
15478;15881;7;6;8518
15471;15688;7;7;23194
15448;15618;7;6;7599
15446;15723;7;6;7943
15444;15552;7;6;7376
15436;15469;7;6;7115
15434;15941;7;6;8769
15415;15454;7;6;7046
15414;15774;7;6;8137
15410;15985;7;6;8949
15407;15913;7;6;8679
15386;15875;7;6;8488
15367;15695;7;6;7868
15365;15673;7;6;7804
15338;15539;7;7;23149
15309;15901;7;6;8641
15302;15948;7;6;8796
15300;15649;7;6;7699
15293;15752;7;6;8027
15292;15644;8;6;18549
15292;15377;8;6;17651
15284;15597;7;6;7522
15278;15563;7;6;7440
15257;15340;7;6;6677
15253;15510;7;6;7188
15250;15587;7;6;7500
15242;15773;8;6;18887
15242;15400;8;6;17715
15228;15674;7;6;7806
15222;15334;7;6;6661
15219;15759;7;7;23255
15213;15796;7;6;8188
15211;15453;7;6;7043
15206;15658;7;6;7734
15200;15564;7;6;7448
15194;15207;7;6;6308
15190;15315;7;6;6594
15179;15805;7;6;8242
15178;15857;7;6;8397
15176;15194;7;7;22998
15172;15878;8;6;19180
15172;15804;8;6;18971
15171;15898;7;6;8618
15168;15436;7;7;23111
15165;15506;7;6;7177
15164;15780;7;6;8158
15152;15960;7;6;8843
15147;15507;7;6;7180
15120;15403;7;6;6844
15118;15588;7;6;7503
15115;15638;7;6;7669
15101;15268;7;6;6450
15088;15407;7;7;23097
15085;15794;7;6;8184
15082;15244;7;6;6416
15077;15635;7;6;7662
15066;15431;7;6;6932
15065;15160;7;6;6162
15062;15896;7;6;8571
15061;15245;7;6;6420
15057;15319;7;6;6611
15055;15573;7;6;7470
15054;15978;7;6;8935
15047;15614;7;6;7598
15045;15467;7;6;7114
15037;15098;7;6;5957
15035;15769;7;6;8082
15033;15126;7;6;6035
15032;15610;7;6;7560
15031;15053;7;6;5844
15018;15558;7;6;7404
15016;15366;7;6;6750
15007;15527;7;6;7268
15005;15753;7;6;8031
14992;15398;7;6;6816
14974;15666;7;6;7795
14970;15704;7;6;7926
14969;15151;7;6;6123
14966;15739;7;6;7989
14963;15934;7;6;8730
14962;15077;7;7;22955
14960;15655;7;6;7718
14957;15588;7;6;7500
14951;15061;7;7;22938
14937;15750;7;6;8024
14929;14949;8;6;16361
14929;15722;8;7;43106
14924;15305;8;6;17363
14924;15457;8;6;17843
14923;15946;7;6;8791
14909;14920;7;6;5562
14902;15775;7;6;8146
14901;15504;7;6;7171
14892;15290;7;6;6484
14891;15759;7;7;23199
14887;15532;7;6;7277
14884;15439;7;6;7002
14874;15262;7;6;6438
14868;14894;7;6;5473
14866;15700;8;6;18655
14866;15892;8;6;19197
14864;15079;7;6;5901
14859;15920;7;6;8710
14858;15670;7;7;23180
14848;15794;7;6;8183
14846;15503;7;6;7169
14842;15936;7;6;8735
14839;15332;8;6;17490
14839;15347;8;6;17533
14835;15725;7;6;7962
14822;15627;7;6;7629
14816;14819;7;6;5338
14815;15743;7;6;8004
14813;15399;7;6;6825
14807;15921;8;6;19314
14807;15917;8;6;19303
14806;15664;7;6;7770
14805;15075;7;6;5896
14789;15592;7;6;7518
14788;15086;7;6;5908
14787;15664;7;6;7764
14784;15080;7;6;5906
14780;15224;8;6;17156
14780;15425;8;6;17777
14779;15122;7;6;6026
14778;15085;7;7;22971
14765;15916;7;6;8702
14760;15635;7;6;7654
14752;14860;7;6;5423
14744;15231;8;6;17200
14744;14929;8;8;69006
14743;15426;7;6;6899
14734;15712;8;6;18667
14734;15708;8;6;18663
14733;15897;8;6;19206
14733;14960;8;7;42800
14726;15552;7;6;7374
14725;15493;7;6;7139
14721;15795;7;6;8187
14706;15349;7;6;6728
14697;14971;7;6;5662
14696;15027;7;6;5785
14692;15085;7;7;22969
14691;15570;7;6;7470
14689;15791;7;6;8170
14684;14994;7;6;5702
14678;15615;7;6;7599
14677;15936;7;6;8732
14675;15164;7;7;22992
14674;14923;7;7;22864
14673;15315;7;6;6579
14672;14897;8;6;16243
14672;14681;8;6;15762
14670;15678;7;6;7810
14666;15900;7;6;8641
14663;15869;7;6;8441
14659;14667;7;6;5054
14656;15605;7;6;7555
14654;14889;7;6;5468
14648;15689;7;6;7844
14641;15753;7;6;8030
14635;14991;7;6;5702
14633;14853;7;6;5412
14627;15368;7;6;6751
14623;15689;7;6;7832
14614;15400;7;6;6828
14612;14857;7;6;5419
14611;15765;7;6;8073
14609;14903;7;6;5536
14606;15000;7;6;5715
14604;15957;7;6;8835
14598;14630;7;6;5013
14586;14587;7;6;4910
14583;15191;7;6;6230
14580;14680;7;6;5075
14563;15272;7;6;6462
14561;15882;7;6;8521
14560;15401;7;6;6830
14551;14780;7;8;42675
14548;14608;7;6;4957
14547;15530;7;6;7276
14543;15343;7;6;6682
14542;15851;7;6;8344
14536;15759;7;7;23199
14534;15225;7;6;6382
14529;15613;7;6;7590
14519;15450;7;6;7039
14512;15531;8;6;18133
14512;15434;8;7;43017
14501;15802;8;6;18966
14501;15718;8;6;18675
14499;15823;7;6;8260
14487;15081;8;6;16745
14487;15789;8;6;18941
14486;15846;7;6;8332
14484;15836;7;7;23273
14479;14802;7;6;5303
14473;15426;7;6;6897
14472;15786;8;6;18927
14472;15728;8;6;18758
14461;15803;9;6;34592
14461;14912;9;6;32023
14461;15433;9;6;33400
14456;15369;7;6;6751
14455;15467;7;6;7109
14452;15202;7;6;6280
14449;14661;7;6;5043
14446;14556;7;6;4841
14444;15031;7;7;22899
14443;14763;7;6;5173
14442;14882;7;6;5461
14432;15266;7;6;6440
14431;14845;7;6;5395
14426;14863;7;6;5433
14425;14926;7;6;5565
14424;14598;7;7;22659
14423;15846;7;6;8324
14420;14684;7;7;22789
14418;15993;7;6;8989
14416;14993;7;6;5702
14414;15925;7;6;8716
14412;15973;7;6;8917
14408;15539;7;7;23134
14397;15625;8;6;18477
14397;14485;8;6;15173
14396;15341;7;6;6678
14395;15770;7;6;8090
14392;14828;7;6;5357
14387;14470;7;6;4547
14384;14781;7;6;5228
14378;14645;7;6;5035
14362;14734;7;8;42648
14359;15720;7;6;7939
14358;15331;8;6;17479
14358;14658;8;6;15677
14356;15608;8;6;18445
14356;15210;8;6;17104
14353;14908;7;6;5550
14347;14767;7;6;5192
14344;15964;7;6;8866
14341;15320;7;6;6626
14339;15164;8;7;42900
14339;15131;8;6;16886
14338;15541;7;6;7330
14334;14991;7;6;5689
14330;14820;7;6;5343
14328;15584;7;6;7490
14322;15972;9;6;35148
14322;14750;9;6;31408
14322;14414;9;7;63835
14319;14988;8;6;16474
14319;14663;8;7;42571
14317;14998;7;6;5704
14316;15602;7;6;7549
14311;14484;7;7;22609
14304;14857;9;6;31709
14304;15365;9;7;64735
14304;14537;9;6;30966
14298;14759;7;6;5172
14293;14613;7;6;4964
14291;15189;7;6;6230
14288;15401;7;6;6830
14287;15624;7;6;7621
14285;15920;9;6;34914
14285;15428;9;6;33357
14285;15168;9;7;64566
14282;14790;7;6;5251
14277;15965;7;6;8869
14275;15639;7;6;7673
14272;15881;7;6;8505
14269;15165;8;7;42905
14269;15567;8;6;18291
14263;15063;7;6;5870
14259;14711;8;6;15858
14259;15835;8;6;19044
14256;15797;7;6;8195
14252;15751;7;6;8026
14247;15669;8;6;18611
14247;14292;8;6;14641
14244;15134;7;6;6080
14243;15743;7;6;7998
14241;14545;8;6;15371
14241;14313;8;6;14707
14233;15632;7;6;7651
14231;14719;8;6;15871
14231;15321;8;6;17454
14226;15604;8;6;18411
14226;14326;8;6;14722
14224;14664;7;6;5047
14220;14803;7;6;5305
14219;15163;7;6;6167
14218;14929;7;8;42784
14217;15059;7;6;5850
14216;15340;8;6;17509
14216;14698;8;6;15805
14215;15169;7;6;6167
14209;15863;7;6;8411
14203;14705;7;6;5091
14202;14623;7;7;22691
14200;15313;7;6;6549
14199;14531;7;6;4800
14198;15355;7;6;6734
14195;15128;7;6;6055
14193;14924;7;8;42770
14188;15744;7;6;8004
14186;15304;7;6;6500
14183;15552;7;6;7370
14171;14262;7;6;4183
14168;15778;8;6;18912
14168;14603;8;6;15578
14167;15085;7;7;22962
14153;15487;7;6;7134
14146;15868;7;6;8432
14144;14212;8;6;14519
14144;14160;8;6;14408
14143;15224;7;6;6351
14137;14576;7;6;4906
14136;15994;7;6;8991
14134;15353;7;6;6732
14132;15420;7;6;6875
14131;14942;8;6;16345
14131;14431;8;7;42404
14125;14340;7;6;4360
14124;15688;8;7;43103
14124;15543;8;6;18162
14123;15351;8;6;17544
14123;14818;8;6;16092
14118;15275;7;6;6466
14115;14743;8;7;42665
14115;15455;8;6;17842
14112;15519;7;6;7249
14110;15789;8;6;18935
14110;15134;8;6;16903
14109;15890;10;6;54916
14109;15071;10;6;52513
14109;14278;10;6;50752
14109;14179;10;6;50597
14108;14343;7;6;4363
14106;15207;7;6;6303
14101;14168;7;8;42007
14097;15447;7;6;7016
14096;15667;7;6;7797
14087;14266;7;6;4216
14086;14873;8;6;16202
14086;14382;8;6;14909
14084;14980;8;6;16413
14084;14769;8;6;15990
14083;15932;7;6;8728
14081;15429;7;6;6925
14072;14524;7;6;4788
14071;14613;7;6;4959
14070;15684;7;6;7816
14068;15337;7;6;6671
14065;15185;7;6;6185
14063;14421;7;6;4464
14061;14383;7;6;4427
14058;15977;8;6;19484
14058;15272;8;6;17297
14054;15495;7;6;7151
14052;14126;7;6;4052
14048;14431;8;7;42390
14048;15864;8;6;19115
14046;14944;7;6;5624
14044;15916;7;6;8701
14042;14399;7;6;4432
14041;14735;7;6;5144
14038;15621;7;6;7610
14034;15226;7;6;6385
14032;14469;8;6;15143
14032;15104;8;6;16799
14030;14508;7;6;4726
14029;14107;8;6;14345
14029;14906;8;6;16254
14016;14554;8;6;15444
14016;14079;8;6;14271
14015;14863;7;6;5429
14010;14413;8;6;14973
14010;15244;8;6;17242
14008;15429;7;6;6920
14006;15996;7;6;9012
14003;14077;7;6;3922
14002;15145;7;6;6114
14001;14015;7;7;22342
13999;14607;7;6;4956
13990;14270;7;6;4223
13988;14531;7;6;4790
13981;15026;7;6;5783
13977;14183;7;7;22442
13972;14694;7;6;5088
13970;15429;7;6;6920
13968;15986;7;6;8952
13967;15765;7;6;8073
13966;14295;8;6;14648
13966;14018;8;6;14119
13965;15101;7;7;22977
13959;15949;8;6;19406
13959;15161;8;6;16999
13956;15494;7;6;7140
13954;15655;7;6;7718
