Source;Target;DegreeSource;Degreetarget;Capacities
1994;1997;6;5;34012
1991;1996;6;5;33976
1936;1996;6;5;33916
1932;1989;5;5;19448
1919;1943;6;5;32532
1910;1951;6;5;32734
1890;1893;6;5;31658
1881;1955;5;5;18735
1879;1887;6;4;15799
1878;1934;7;5;47990
1878;1921;7;4;24741
1869;1873;6;3;3915
1867;1870;6;5;31146
1854;1965;6;5;33155
1853;1889;6;5;31513
1846;1871;6;5;31175
1843;1901;6;5;31689
1840;1995;6;5;33885
1838;1863;6;4;15460
1835;1924;6;4;16322
1826;1995;5;5;19770
1816;1866;6;4;15540
1812;1960;5;5;18839
1806;1959;6;5;33047
1806;1907;6;5;31909
1801;1914;5;5;18477
1800;1986;6;5;33597
1786;1961;5;5;18864
1783;1807;5;4;5703
1778;1844;5;4;5812
1772;1931;5;4;6323
1765;1881;6;5;31430
1762;1780;6;4;14461
1755;1841;5;4;5777
1749;1879;6;6;56901
1739;1852;6;5;30633
1736;1809;6;3;3528
1734;1985;4;5;7913
1730;1936;4;6;16475
1728;1861;6;5;30722
1721;1937;4;5;6470
1720;1991;4;6;17051
1715;1914;6;5;32008
1714;1976;5;5;19098
1714;1794;5;5;17755
1713;1975;5;5;19001
1697;1877;6;5;31315
1695;1928;6;3;4018
1695;1915;6;4;16021
1690;1987;6;5;33616
1689;1924;4;4;2912
1685;1964;4;5;6743
1684;1751;6;5;29416
1682;1944;5;4;6525
1671;1964;6;5;33054
1671;1818;6;5;30163
1666;1908;6;5;31937
1662;1953;5;3;2336
1657;1907;6;5;31751
1656;1747;6;4;14253
1653;1763;8;5;70166
1653;1697;8;6;111251
1653;1869;8;6;112995
1652;1977;5;5;19159
1651;1749;5;6;29278
1648;1862;5;4;5864
1646;1999;8;5;72436
1646;1755;8;5;69636
1646;1867;8;6;112968
1641;1821;6;3;3609
1638;1774;7;5;46450
1638;1662;7;5;45552
1630;1685;7;4;23876
1630;1674;7;2;1162
1622;1874;5;5;17939
1621;1891;6;5;31547
1611;1835;5;6;30365
1607;1880;11;3;41960
1607;1694;11;4;88636
1607;1644;11;4;87473
1607;1857;11;3;41768
1607;1688;11;3;41142
1607;1662;11;5;141800
1604;1860;6;5;30700
1603;1921;6;4;16039
1601;1857;8;3;15420
1601;1742;8;5;69627
1601;1647;8;4;38338
1599;1885;6;3;3923
1599;1773;6;3;3508
1597;1932;4;5;6445
1594;1663;5;4;5067
1588;1620;6;2;432
1586;1993;3;5;2538
1583;1670;4;5;5145
1578;1992;4;5;7985
1572;1958;6;4;16689
1565;1795;4;5;5593
1555;1885;5;3;2216
1552;1837;6;4;15109
1548;1689;7;4;23924
1548;1737;7;4;24256
1545;1719;5;4;5478
1541;1854;4;6;15401
1534;1997;6;5;33999
1530;1996;4;5;8117
1527;1965;6;5;33120
1521;1704;8;4;38537
1521;1551;8;3;12796
1521;1550;8;4;38177
1514;1576;4;5;4836
1509;1976;6;5;33450
1509;1963;6;5;33048
1507;1865;8;4;39285
1507;1707;8;4;38647
1507;1538;8;4;37975
1506;1936;5;6;32167
1501;1969;6;4;16748
1491;1954;4;5;6585
1485;1812;5;5;17778
1484;1529;5;3;1578
1481;1714;8;5;69294
1481;1910;8;6;114032
1481;1871;8;5;71488
1474;1627;6;5;28269
1472;1909;6;3;4008
1471;1850;5;4;5823
1470;1772;5;5;17402
1463;1967;4;5;7409
1461;1656;6;6;54781
1451;1981;5;4;7799
1449;1901;4;5;6136
1440;1902;5;5;18443
1440;1764;5;5;17380
1437;1926;5;4;6306
1429;1570;5;4;4786
1425;1719;7;4;24017
1425;1655;7;3;9419
1425;1477;7;4;23222
1421;1960;5;5;18750
1420;1601;5;8;67961
1419;1665;6;3;3458
1415;1966;4;5;7386
1410;1792;8;5;70477
1410;1520;8;5;67763
1410;1483;8;3;12269
1410;1500;8;5;67571
1409;1583;5;4;4880
1408;1773;6;3;3487
1408;1409;6;5;27054
1402;1889;5;5;18135
1388;1690;6;6;55540
1386;1897;5;4;6120
1385;1962;6;4;16735
1384;1419;6;6;52978
1375;1852;7;5;47164
1375;1838;7;6;80860
1375;1534;7;6;78730
1370;1971;6;5;33333
1367;1781;3;5;1795
1359;1774;6;5;29492
1354;1408;4;6;12009
1353;1402;7;5;43213
1353;1833;7;5;47091
1351;1671;6;6;54953
1340;1867;4;6;15573
1339;1995;5;5;19591
1336;1963;4;5;6680
1335;1985;6;5;33577
1333;1599;7;6;79092
1333;1785;7;4;24457
1330;1728;8;6;112093
1330;1698;8;3;13860
1330;1486;8;5;67016
1321;1838;4;6;15262
1318;1975;4;5;7703
1318;1638;4;7;23812
1310;1650;5;2;43
1309;1970;4;5;7597
1306;1678;5;3;1662
1305;1654;5;4;5041
1299;1944;6;4;16523
1299;1861;6;5;30700
1298;1959;4;5;6643
1293;1851;5;5;17894
1289;1461;6;6;53167
1289;1291;6;4;11557
1275;1867;5;6;30742
1270;1277;7;3;8661
1270;1648;7;5;45552
1269;1627;7;5;45256
1269;1385;7;6;77121
1267;1653;5;8;68697
1263;1803;6;3;3525
1262;1952;12;4;114302
1262;1782;12;3;56048
1262;1903;12;4;114019
1262;1565;12;4;109143
1262;1507;12;8;530980
1262;1455;12;4;107713
1262;1378;12;5;180772
1262;1633;12;4;110473
1259;1706;6;4;13963
1254;1425;5;7;44022
1248;1466;7;3;9084
1248;1527;7;6;78383
1243;1949;4;5;6551
1240;1705;7;5;45690
1240;1767;7;5;46436
1234;1888;6;3;3954
1233;1503;5;5;17138
1231;1607;7;11;329271
1231;1581;7;5;44956
1222;1702;7;2;1256
1222;1533;7;4;23263
1220;1864;8;4;39259
1220;1734;8;4;38799
1220;1689;8;4;38437
1220;1950;8;3;16545
1217;1714;9;5;97003
1217;1687;9;4;55538
1217;1341;9;4;52147
1217;1221;9;3;21032
1212;1509;6;6;53999
1206;1997;5;5;20022
1203;1467;5;4;4518
1201;1875;10;5;119449
1201;1693;10;5;119107
1201;1427;10;3;27349
1201;1414;10;3;27106
1201;1411;10;5;117909
1200;1623;7;4;23648
1200;1396;7;4;23146
1200;1410;7;8;157496
1199;1429;3;5;1474
1197;1630;4;7;23701
1196;1493;6;5;28090
1196;1587;6;4;13077
1195;1388;6;6;52727
1191;1548;5;7;44693
1186;1830;5;3;1964
1184;1998;4;5;8205
1183;1613;9;4;54684
1183;1939;9;5;98027
1183;1419;9;6;134166
1183;1550;9;4;54446
1181;1938;4;5;6491
1179;1922;5;5;18636
1177;1904;5;5;18454
1173;1764;9;5;97102
1173;1553;9;3;21562
1173;1489;9;5;95426
1173;1717;9;4;55660
1173;1979;9;5;98702
1166;1741;6;4;14153
1163;1865;11;4;90000
1163;1808;11;4;89040
1163;1555;11;5;141365
1163;1310;11;5;139365
1163;1381;11;3;40766
1163;1740;11;5;142886
1154;1864;6;4;15495
1146;1792;6;5;29726
1146;1740;6;5;29118
1141;1811;4;4;2895
1140;1636;7;4;23751
1140;1412;7;3;8861
1140;1437;7;5;44281
1138;1235;7;3;8607
1138;1330;7;8;156492
1133;1670;6;5;28355
1128;1930;6;4;16340
1126;1812;9;5;97625
1126;1307;9;3;21244
1126;1856;9;2;3839
1126;1186;9;5;93817
1125;1870;7;5;47315
1125;1681;7;3;9530
1123;1379;7;4;23129
1123;1248;7;7;114337
1121;1989;4;5;7973
1118;1931;6;4;16349
1117;1882;6;2;647
1116;1602;6;4;13078
1116;1511;6;3;3420
1115;1190;7;4;22472
1115;1521;7;8;159986
1113;1979;5;5;19205
1111;1967;8;5;72323
1111;1850;8;4;39125
