Source;Target;DegreeSource;Degreetarget;Capacities
18407;18462;13;7;8942862
18407;18460;13;7;1198880
18407;18447;13;7;193291
18407;18466;13;7;399296
18407;18440;13;7;19932115
18374;18468;9;7;1403300
18374;18379;9;5;2355838
18354;18410;8;7;6834464
18347;18436;8;7;428857
18345;18441;8;7;5549399
18323;18335;7;7;59752
18305;18382;8;7;6215563
18295;18398;8;7;4731074
18259;18345;8;8;13771973
18182;18242;8;7;13352564
18174;18395;8;7;113891057
18169;18207;8;7;3980265
18139;18324;8;7;30884864
18128;18287;8;7;62091
18126;18454;8;7;46236
18118;18192;8;7;14350238
18106;18464;9;7;94162
18106;18319;9;7;14374997
18083;18439;8;6;1490339
18080;18188;8;7;3761962
18053;18124;7;7;648700
18023;18135;8;7;369722
18023;18155;8;6;413285
18020;18385;8;6;23749995
18013;18154;8;7;2685207
18003;18308;8;7;1483
17999;18375;7;7;180694
17994;18367;16;6;10475241
17994;18247;16;7;251338
17994;18360;16;7;27292029
17994;18152;16;6;1057472
17994;18139;16;8;13871638
17994;18051;16;6;890327
17994;18232;16;7;103521
17994;18193;16;6;161286
17994;18070;16;7;569315
17937;18295;10;8;500904
17937;18259;10;8;5497244
17937;18127;10;7;792262
17928;18109;9;7;26838352
17928;18231;9;7;1414876
17917;18428;9;7;667039
17917;18006;9;7;138286
17900;18415;7;7;120925
17897;18044;8;5;240115
17891;18019;8;7;659342
17888;17937;7;10;14661780
17880;17939;8;7;210891
17871;17904;7;7;825761
17867;18062;7;7;665737
17862;17878;8;7;1465300
17841;18266;8;7;124862
17840;18232;8;7;2588824
17839;18465;8;7;377102
17838;17860;6;7;18017121
17831;18185;8;6;463282
17829;18350;8;6;188311
17829;18140;8;7;1542935
17824;18254;8;7;4652169
17819;18370;8;7;40471
17818;17929;6;7;954153
17816;18326;8;7;426443
17814;18389;17;7;18809476
17814;18238;17;7;60826
17814;18194;17;7;4983978
17814;17903;17;7;1765872
17814;17850;17;7;3508279
17814;17995;17;7;9344701
17814;18027;17;6;1029756
17814;18038;17;6;40839777
17814;18167;17;7;64997
17814;18051;17;6;34683505
17799;18130;8;6;13839735
17786;17920;8;7;11973135
17770;18091;6;5;2468161
17758;18169;8;8;667787
17758;18426;8;7;2532693
17754;17908;7;7;480543
17747;18118;8;8;326617
17739;17827;8;7;486673
17729;18404;8;6;116029
17722;18031;8;6;110372
17721;18366;16;7;941305
17721;18394;16;7;77889
17721;18151;16;7;108509595
17721;17745;16;7;419173
17721;17784;16;7;153050
17721;17754;16;7;165050
17721;18339;16;7;7804741
17721;17732;16;7;18197068
17721;18254;16;7;338008
17706;18463;7;7;24858056
17703;18349;8;7;15549595
17689;17723;6;7;20327
17686;17917;6;9;1814471
17676;18231;8;7;392855
17667;18069;8;7;1335109
17644;18227;8;7;57991
17640;18366;30;7;55085
17640;18362;30;7;470355
17640;18274;30;6;39998
17640;18089;30;5;146930
17640;18086;30;7;989678
17640;18012;30;7;3963736
17640;17996;30;7;104010300
17640;17843;30;6;208209
17640;18352;30;7;132717
17640;17714;30;7;464541
17640;17974;30;6;410667
17640;17732;30;7;960215
17640;17748;30;6;260878
17640;17832;30;7;929260
17640;18123;30;6;27213851
17640;17949;30;7;3342555
17640;18243;30;7;61032
17640;18127;30;7;32770380
17640;17721;30;16;817365814
17640;17837;30;7;425368
17640;18342;30;7;196511
17640;17907;30;7;92926180
17640;17990;30;7;44942
17639;17660;7;7;246109
17628;18179;8;6;425353
17608;17625;6;6;682778
17599;17613;8;6;44288
17588;17880;7;8;13463361
17587;18343;8;7;2786103
17582;18082;8;6;36593
17576;18403;15;7;1477994
17576;18461;15;7;18245965
17576;18292;15;7;3377330
17576;18125;15;4;51495
17576;18021;15;7;685197
17576;17591;15;6;570379
17576;17992;15;6;18197314
17576;17758;15;8;27468280
17558;17824;8;8;643192
17558;17602;8;7;25184
17546;17700;8;7;414536
17537;17993;7;6;254083
17523;18395;8;7;417190
17506;17866;8;7;9344
17505;18260;8;7;181846
17504;18312;9;6;52048
17504;17633;9;7;252096
17489;17735;8;6;55635
17487;17520;7;7;226438
17482;17971;8;6;369223
17474;17763;6;7;9572803
17467;17692;7;7;4537995
17463;18225;8;6;1078408
17453;17967;8;6;115468
17451;17838;7;6;1235042
17448;18351;8;7;46584
17433;18173;8;7;121363
17422;17622;8;7;261676
17421;18346;9;6;121607
17421;17780;9;7;13380530
17416;17772;8;6;7358
17411;17589;9;6;20102
17411;17572;9;7;3463770
17406;17681;9;6;184382
17406;18403;9;7;42195
17403;17537;7;7;2814178
17398;18315;8;7;7816608
17397;18221;6;7;4612654
17386;18033;8;7;14910826
17384;17394;8;6;405318
17384;17552;8;7;357710
17379;17479;7;6;1148509
17374;17631;6;7;13052032
17369;17813;8;7;112496
17362;17583;8;6;994717
17347;17358;8;6;110290
17341;17450;8;6;195440
17339;17427;8;6;494410
17330;18274;8;6;961559
17329;18080;7;8;1702161
17327;18414;7;7;132077
17325;18383;8;7;8870905
17312;18271;8;4;1464322
17304;17955;7;7;1203135
17298;17761;8;7;1166245
17292;18310;11;7;68526
17292;17778;11;7;509110
17292;17541;11;6;687705
17292;17488;11;7;196825
17291;18370;8;7;242785
17285;17581;6;5;150293
17282;17928;8;9;1947700
17273;17711;8;5;275959
17269;18331;8;7;984906
17263;18284;6;7;7292340
17251;17994;8;16;3443527
17251;17650;8;7;9606723
17244;17612;8;6;1340722
17240;18334;12;6;90354
17240;17800;12;6;24434318
17240;17272;12;5;271633
17240;17651;12;6;195247
17240;17367;12;5;1396919
17239;18006;8;7;2776967
17239;17356;8;7;23805995
17234;17574;8;6;877453
17232;18116;6;5;14903020
17229;18409;8;7;8234
17219;17824;9;8;7130939
17219;17286;9;5;3766704
17214;18245;8;7;972044
17213;18428;9;7;540858
17213;18043;9;6;69882
17195;17637;7;6;610027
17181;17348;8;7;5957
17173;18060;9;7;1430408
17173;17893;9;7;40574
17170;18256;17;7;16502402
17170;18133;17;6;134507
17170;17477;17;6;86482
17170;17530;17;6;649233
17170;17842;17;6;387254
17170;17639;17;7;38491923
17170;17285;17;6;2015021
17170;17345;17;6;131794
17170;17363;17;6;6337908
17170;17508;17;6;40431045
17170;17510;17;7;68890
17165;17359;9;6;294289
17165;17178;9;7;12908890
17153;17739;8;8;59849
17141;17378;7;7;569341
17137;17293;8;7;41997021
17131;18042;8;6;279986
17117;18253;7;7;5212989
17112;17797;9;6;9839193
17112;17282;9;8;708592
17104;17575;9;6;150568
17104;17306;9;6;167941
17103;18134;8;5;2971556
17099;18293;7;7;50472
17097;17329;7;7;426024
17090;17658;11;6;18048
17090;17562;11;7;113794
17090;18138;11;6;8538229
17090;17163;11;7;605435
17090;17763;11;7;1423242
17087;17655;9;7;61498
17087;17622;9;7;11958413
17081;17826;7;7;59015
17080;17635;7;6;108498
17077;18457;7;7;1346737
17070;18168;10;5;17701718
17070;18055;10;7;679077
17070;17888;10;7;337374
17070;17630;10;7;3782445
17066;18449;8;7;1165586
17066;17338;8;7;2495931
17064;17595;7;6;60043
17063;18120;8;5;156392
17058;17670;7;7;69296
17058;17409;7;7;962266
17049;17085;6;7;296746
17044;17655;7;7;1181596
17038;17163;6;7;329318
17036;17504;8;9;816197
17034;18469;8;7;132665
17034;17271;8;7;3377178
17032;17407;7;7;172568
17028;18188;8;7;1715901
17028;17313;8;7;140931
17027;17065;6;6;2476004
17021;17244;6;8;6194037
17019;18182;9;8;7329514
17019;17479;9;6;30373
17013;17706;9;7;1731959
17013;18013;9;8;454714
16999;17459;8;6;1955954
16990;17625;6;6;78775
16965;18396;14;7;2131859
16965;18112;14;7;265908
16965;17762;14;6;59472
16965;17489;14;8;4171080
16965;17335;14;7;103635
16965;18173;14;7;2547424
16965;17847;14;7;3863509
16948;17075;8;6;3860317
16945;17763;8;7;1057193
16939;18466;7;7;1593661
16932;18265;8;7;583716
16930;17606;8;6;629330
16919;17615;7;7;790472
16912;17996;7;7;73856
16906;18428;10;7;128306622
16906;17206;10;6;1263237
16906;17886;10;7;4630773
16895;17887;6;7;103394
16892;17373;8;7;2612397
16889;18129;18;3;436584
16889;18027;18;6;393752
16889;17388;18;6;143195
16889;18151;18;7;662130
16889;17687;18;7;1970311
16889;18090;18;7;2471826
16889;16950;18;4;22692715
16889;17691;18;7;147469
16889;17110;18;7;1027846
16889;17419;18;5;579719
16889;17985;18;7;225639
16887;16888;6;6;4221
16878;17476;9;7;45060
16878;17463;9;8;24953948
16865;17493;8;7;1457298
16864;16915;8;5;90269
16861;17594;8;7;2755254
16853;17328;7;7;204733
16850;18117;8;7;196832
16848;17854;8;7;932118
16847;16979;8;7;22352142
16846;17510;7;7;884255
16846;17445;7;7;3161325
16839;18231;7;7;195340
16835;17424;7;7;993633
16832;17866;8;7;700110
16830;18007;8;7;3643407
16829;16953;8;7;1004626
16823;17886;8;7;848401
16809;18175;7;7;1177184
16804;16869;6;7;297790
16793;17293;8;7;2396755
16793;17197;8;5;203204
16784;18184;8;6;1364878
16781;18013;10;8;6393129
16781;18214;10;7;2009588
16781;17533;10;6;677065
16779;18046;9;5;1330963
16779;17921;9;7;10990484
16773;18203;6;7;15239297
16767;18417;6;7;2622419
16762;17817;9;6;10722229
16762;17607;9;7;17146191
16758;18415;9;7;8261733
16758;17068;9;7;8527237
16755;18360;9;7;1717185
16755;17656;9;7;126112
16754;16903;9;7;3243126
16754;17038;9;6;21696643
16752;16944;7;6;435297
16751;16762;6;9;103896
16744;17788;8;7;39879235
16743;18276;7;7;272979
16736;18262;8;7;699296
16734;17256;8;7;203522
16726;16785;8;7;72033
16725;17048;8;6;8610565
16723;16893;8;7;26369
16723;17160;8;7;2946572
16720;17899;8;6;100133
16720;16976;8;5;560079
16712;18243;8;7;12274
16701;18062;8;7;358428
16697;18189;7;6;1182889
16694;18219;9;7;2749173
16694;17630;9;7;2103274
16694;18164;9;7;15343991
16687;17166;10;7;1739892
16687;18028;10;7;111500
16687;17482;10;8;20318987
16682;17479;7;6;858205
16678;17846;6;7;2578349
16670;17976;6;6;1945151
16662;18044;12;5;2586113
16662;17736;12;7;13043126
16662;17973;12;7;6616389
16662;17609;12;6;13281244
16662;17028;12;8;331996
16662;17339;12;8;431119
16659;18382;7;7;84745
16657;18066;8;6;24624
16656;17526;8;7;1647308
16646;18284;15;7;10219301
16646;17076;15;6;1062878
16646;17527;15;6;526
16646;17842;15;6;10488618
16646;17860;15;7;1172789
16646;18169;15;8;35202721
16646;18021;15;7;352087
16646;18195;15;7;21917641
16641;16879;8;6;374422
16636;18430;37;7;39964
16636;17728;37;6;261246
16636;18221;37;7;320358
16636;17117;37;7;40487797
16636;17813;37;7;1799908
16636;17091;37;6;244132
16636;17264;37;7;174259
16636;16969;37;7;487822
16636;17019;37;9;6711983
16636;16681;37;5;98245
16636;17667;37;8;1493224
16636;17358;37;6;148390072
16636;17764;37;7;1355717
16636;17124;37;7;36897938
16636;17942;37;6;1907320
16636;18382;37;7;32802158
16636;18323;37;7;78155020
16636;17615;37;7;103113
16636;17632;37;7;4050279
16636;16712;37;8;52848068
16636;17656;37;7;31352152
16636;18207;37;7;227029
16636;17687;37;7;27118350
16636;17730;37;6;587605
16636;18301;37;6;3316729
16636;18183;37;7;119650568
16636;18124;37;7;178952600
16636;18175;37;7;823850
16636;18293;37;7;147067
16613;18426;84;7;152948
16613;18366;84;7;5702328
16613;18338;84;6;1339642
16613;18303;84;7;4034024
16613;18358;84;7;7599157
16613;18231;84;7;2125181
16613;18229;84;6;19286654
16613;18162;84;7;1739946
16613;18150;84;7;599962332
16613;18121;84;6;313345
16613;18115;84;6;126031
16613;18028;84;7;12833714
16613;18017;84;7;57061833
16613;17042;84;7;200000
16613;18026;84;6;11944274
16613;16629;84;6;1606293
16613;16920;84;6;1644021
16613;17274;84;7;846626
16613;16950;84;4;97960855
16613;16938;84;7;22152
16613;17005;84;5;5501216
16613;16918;84;6;6530379
16613;17060;84;7;846318
16613;18371;84;6;429883
16613;17355;84;7;9985831
16613;16799;84;7;633198
16613;16736;84;8;169756
16613;17385;84;7;31891067
16613;18138;84;6;2896941
16613;17503;84;7;53168
16613;17523;84;8;642197
16613;18022;84;7;150717
16613;17641;84;5;3005466
16613;17569;84;5;25135966
16613;16680;84;6;20643803
16613;16930;84;8;2421917
16613;17107;84;7;123803
16613;18438;84;7;405820
16613;17605;84;7;179884
16613;18354;84;8;16653218
16613;16703;84;7;10243715
16613;16979;84;7;31230947
16613;17106;84;7;4910751
16613;16828;84;6;302928
16613;16701;84;8;22499499
16613;16849;84;6;1308953
16613;17203;84;7;17441
16613;16646;84;15;57352
16613;16792;84;7;15926993
16613;16734;84;8;15553
16613;17158;84;7;841903
16613;17335;84;7;16082
16613;18304;84;7;4117890
16613;17161;84;6;5830935
16613;17356;84;7;70553
16613;18395;84;7;342926
16613;17379;84;7;1299452
16613;17304;84;7;12827
16613;17431;84;7;136960
16613;16642;84;6;12002500
16613;17785;84;7;25748948
16613;17494;84;6;2470614
16613;17505;84;8;80988
16613;17522;84;7;308259
16613;17548;84;7;1504401
16613;17629;84;7;7495869
16613;17745;84;7;19181606
16613;17753;84;6;1078531
16613;17779;84;7;14651427
16613;18464;84;7;1332741
16613;17448;84;8;4918272
16613;17956;84;7;52007
16613;17842;84;6;7654739
16613;18456;84;7;2079103
16613;17948;84;7;656637
16613;17955;84;7;300366
16612;16833;7;7;1319052
16611;17288;8;6;2211690
16606;17137;9;8;43675
16606;16900;9;7;835517
16604;17369;12;8;487783
16604;16929;12;5;325194
16604;16744;12;8;21209113
16604;16722;12;7;3420284
16604;18143;12;6;1692718
16604;17182;12;6;59929
16600;17611;8;4;327065
16593;16919;8;7;938487
16585;16692;8;7;1855448
16584;17995;8;7;7231815
16584;17836;8;7;915299
16583;18075;7;7;73692
16576;17766;8;7;385725
16573;17688;9;7;39572
16573;17259;9;5;1992263
16571;16923;7;6;281606
16563;17417;8;7;237739
16558;17533;9;6;999911
16558;16714;9;6;121045
16555;17361;8;7;23298
16550;18348;5;6;15217804
16547;17675;8;7;22808504
