Source;Target;DegreeSource;Degreetarget;Capacities
17698;17707;7;6;24544588
17692;17745;7;6;1713489
17548;17673;7;6;5431177
17534;17695;6;6;943556
17496;17739;7;6;9166
17463;17493;7;5;137733
17453;17673;7;6;1470438
17412;17569;6;6;842
17395;17630;7;6;4760161
17386;17752;10;6;291753
17386;17686;10;6;399267
17386;17619;10;6;253488
17386;17683;10;6;3400600
17384;17531;7;6;2281319
17379;17489;7;6;26992687
17379;17417;7;5;411734
17361;17484;6;6;684623
17354;17460;8;6;124184794
17354;17387;8;6;5302157
17335;17690;7;6;1685788
17322;17532;9;6;1823264
17322;17487;9;6;3278616
17322;17607;9;6;268269
17286;17491;7;6;2972458
17284;17401;7;6;705868
17281;17648;7;6;55273760
17273;17462;7;6;44132757
17271;17720;7;6;655016
17265;17647;7;6;1878949
17239;17604;7;6;164102
17204;17641;7;6;324346
17199;17277;7;6;261787
17187;17380;9;6;128171
17187;17695;9;6;1567959
17187;17227;9;6;706724
17173;17505;7;6;1012055
17172;17639;7;6;27185891
17171;17731;7;5;10571
17165;17311;9;6;6975251
17165;17193;9;6;231363
17165;17339;9;6;1672948
17161;17468;7;6;3679649
17158;17724;8;6;170614
17158;17323;8;6;30551475
17156;17729;6;6;325553
17141;17159;8;6;540374
17141;17426;8;5;2330180
17133;17192;6;6;18902859
17130;17674;7;6;623860
17114;17396;7;6;789807
17099;17244;6;6;29344
17097;17310;7;5;6435002
17089;17693;7;6;3472266
17081;17603;7;6;12837381
17069;17584;7;6;78433013
17064;17142;7;6;115753566
17059;17461;7;6;173972
17043;17145;7;6;56214897
17039;17583;7;6;66529291
17029;17628;8;6;493
17029;17354;8;8;79837027
17018;17521;8;6;707864
17018;17037;8;5;340945
17012;17182;10;6;8238
17012;17707;10;6;2465748
17012;17187;10;9;2180352
17012;17194;10;6;1268053
17003;17307;7;6;1775853
17001;17319;8;6;5180439
17001;17254;8;6;4293677
16999;17697;7;6;864301
16994;17324;6;6;2095337
16985;17156;7;6;7014563
16981;17615;7;6;131301
16961;17135;7;6;21510
16935;17275;8;5;14476147
16935;17503;8;6;55068
16925;17593;6;6;2691333
16900;17518;7;6;228924
16888;17035;7;6;137545
16885;17511;6;6;13073337
16874;17201;7;6;41758709
16871;17465;7;6;12014667
16857;17053;6;6;225268
16855;17754;7;6;2956626
16852;17700;7;6;13161740
16844;17741;7;6;426531
16842;17558;5;6;5263234
16839;16851;6;6;79794
16837;17581;9;6;22281486
16837;17496;9;7;9119274
16837;16865;9;6;18530810
16835;16852;7;7;16712504
16832;17107;7;6;355645
16822;17550;7;6;824476
16821;17088;7;6;4773825
16818;17140;7;6;1133600
16816;17445;7;6;124663
16802;17037;7;5;2958465
16796;17296;7;6;59992
16782;16943;5;6;5129160
16772;17091;7;6;163730
16760;16957;7;6;226649
16760;16775;7;6;276072
16759;17487;7;6;1387610
16752;17207;6;5;6369133
16746;16772;7;7;10354593
16739;17640;7;6;48034287
16738;16806;6;6;1311565
16735;17246;7;6;362080
16720;17074;7;6;78828
16708;16880;7;5;378936
16692;17723;7;6;80809
16689;16917;9;6;268607
16689;16893;9;6;40764
16689;16720;9;7;4603155
16689;16935;9;8;19563
16680;17175;7;6;12869339
16676;17284;7;7;62904
16672;17073;7;6;4296594
16655;17576;8;6;499171
16655;17401;8;6;21027861
16650;17235;7;6;3904180
16648;17386;13;10;601931
16648;17289;13;6;3527144
16648;17726;13;6;471598
16648;17336;13;6;52584
16648;16855;13;7;4937306
16648;17512;13;6;83807
16648;17486;13;6;14027288
16581;17466;7;6;96334
16578;17112;7;6;625042
16570;17230;8;6;223458
16570;16753;8;6;81094260
16563;16832;7;7;2092361
16556;17116;7;6;4954648
16512;17689;7;6;535552
16509;17371;7;6;1365262
16505;16556;7;7;2046375
16489;17665;7;6;8866909
16488;17180;7;6;987646
16470;16928;7;5;82997
16468;16491;9;6;1951972
16468;16676;9;7;30443311
16468;17667;9;6;38890121
16456;16697;7;6;4548
16450;16982;7;6;6922118
16446;16553;7;6;2112920
16443;17093;7;6;1120804
16438;17060;7;6;63176
16434;16515;7;6;911981
16432;17600;6;6;521981
16429;17459;11;6;9999
16429;16815;11;6;303835
16429;16613;11;6;373862
16429;17271;11;7;140850
16429;17586;11;6;694182
16416;16780;6;6;380827
16413;16644;7;6;13399591
16411;17426;7;5;73079121
16409;17175;7;6;72489
16404;17509;8;5;16519561
16404;17072;8;6;4759672
16404;17216;8;6;29141855
