Source;Target;DegreeSource;DegreeTarget;Capacity
14344;14564;3;1;37200
7578;7643;18;13;1000000
7578;7643;18;13;1000000
14344;14830;3;70;200000
1474;7643;2;13;2000000
1474;7578;2;18;1000000
7578;14830;18;70;64300
7643;11241;13;50;1000000
11241;14830;50;70;80000
7643;14830;13;70;1000000
7902;13482;22;1;15000
3371;14344;1;3;10000
6116;7643;16;13;250000
7578;14154;18;29;5000000
5696;14154;1;29;500000
240;14154;11;29;500000
7403;14154;1;29;500000
12622;14154;15;29;5000000
7578;13209;18;7;600000
13209;14830;7;70;600000
4527;11241;2;50;280000
4527;12622;2;15;180000
1424;7683;1;8;10000
5414;7683;2;8;10000
8072;14154;5;29;9000
5414;14154;2;29;30000
7683;14154;8;29;10000
11147;14830;1;70;80000
13209;14154;7;29;600000
9264;15542;2;1;61575
14154;15359;29;11;6000
11241;14598;50;1;700000
2299;7578;2;18;500000
2299;11241;2;50;200000
6127;14154;47;29;200000
6127;14830;47;70;100000
6127;7578;47;18;100000
11241;13209;50;7;500000
6127;7643;47;13;100000
7578;14297;18;1;400000
5008;12622;2;15;5000
486;7902;2;22;20000
240;7677;11;13;10000
3614;14154;7;29;200000
7677;13737;13;3;10000
6116;7578;16;18;300000
486;11241;2;50;160806
240;12367;11;2;100000
3614;12367;7;2;100000
10784;12622;3;15;500000
1406;14154;30;29;2000000
1406;15069;30;2;200000
309;1406;8;30;200000
7578;13983;18;1;1000000
5825;14154;2;29;390000
1406;7683;30;8;200000
1406;16112;30;2;200000
1406;14830;30;70;200000
1406;7578;30;18;200000
1406;7677;30;13;200000
1406;2434;30;49;200000
1406;5260;30;2;200000
1406;6127;30;47;200000
7677;11853;13;43;50000
5260;11853;2;43;50000
7762;11241;1;50;25000
5825;6127;2;47;100000
1406;12558;30;2;250000
1406;12711;30;1;200000
5548;5871;3;1;20000
4930;7578;1;18;70000
8530;11853;2;43;50000
3886;10762;1;12;20000
11241;12558;50;2;120000
4834;14154;2;29;2000
11853;14154;43;29;50000
14154;14857;29;7;400000
52;14830;8;70;41868
12622;14857;15;7;400000
